WORD	ANG. SPEL.	MEANING	KIND	FOREBEAR	WHENCE	NOTES
a		᛫ per ᛫	P	~	NE	
abboten		᛫ an abbess ᛫	N	abbot+en	NE‹‹I‹H‹O+NE	
abbotric		᛫ an abbacy ᛫	N	~	NE‹(O+E)	
abide		᛫ to act in accordance with ᛫ to remain ᛫ to wait ᛫ to wait for ᛫ to await ᛫ to persist ᛫ to reside ᛫ to face ( in combat etc ) ᛫	V	~[abīden][ābīdan]	NE	
abiding		᛫ enduring ᛫ continuing ᛫	AJ	~	NE	
abidinghouse	abidinghuse	᛫ an almshouse ᛫ a poorhouse ᛫	N	abiding house	NE	[OXF]
abite		᛫ to bite to death ᛫	V	abīten[abītan]	OE	
abode		᛫ a place of residence ᛫ residence ᛫ a stay ᛫ a sojourn ᛫	N	~	NE	kin: abide
aboveboard	abufboard	᛫ transparent ( as in not hidden ) ᛫ legitimate and in the open ᛬ openly and legitimately ᛫	AJ᛬AV	aboveboard	NE	
abraid		᛫ to move violently ᛫ to burst forth ᛫ to start up ᛫ to awake ᛫	V	abraid&abreiden	NE&ME	
abreast		᛫ to make abreast ᛫ to inform ᛬ informed ᛬ parallel ᛫ alongside ᛫	V᛬AJ᛬P	~	NE	
abreasting		᛫ information ᛫	N	abreast+ing	NE×2	
abreethe	abreeþ	᛫ to degenerate ᛫ to deteriorate ᛫	V	abrẹ̄then[abrēoþan]	ME	kin: brẹ̄þen
abroad		᛫ in or to a foreign country ᛫ away from home ᛫ in different directions ᛫	AV	~	NE	
abrothen	abroþen	᛫ degenerate ᛫	AJ	abroþen	OE	kin: brothel?
abrothenness	abroþenness	᛫ degeneracy ᛫	N	abroþenness	OE	
abuy	abye	᛫ to suffer a penalty ᛫ to atone ᛫ to pay for something ᛫	V	abye[abīen][ābycgan]	NE	PST: abought ᛫ PTCP: abought; aboughten
abye		᛫ to bow ᛫ to bend ᛫ to turn ᛫ to inflect ( grammatical term ) ᛫	V	gebīgan	OE	
abying		᛫ case ( grammatical term ) ᛫	N	gebīgednys	OE	
achesoothing	akesooþing	᛫ anodyne ᛫	AJ	ache+soothing	NE×2	
ack		᛫ but ᛫ however ᛫ except ᛫	C	ac	ME	unrealistic/fanciful
ackle	ackel	᛫ frightened ᛫ terrified ᛫	AJ	acol	OE	unrealistic/fanciful
acknow	acknoƿ	᛫ to recognize ᛫ to identify ᛫	V	iknouen&gecnāwan	ME&OE	
acknowledge	acknoƿlecg	᛫ to recognize something's validity existence presence or standing ᛫	V	~	NE	
acknowledging	acknoƿlecging	᛫ acknowledgement ᛫	N	~	NE	
acost		᛫ proven ᛫ tried and true ᛫ tested ᛫	AJ	gecost	OE	
acre	aker	᛫ an English unit of land area ( 4840 square yards ) ᛫	N	~	NE	
acreman	akerman	᛫ a husbandman ᛫ a ploughman ᛫ a farmer [ᚹ] ᛫	N	akerman	ME	
acretilth	akertilþ	᛫ agriculture ᛫	N	acre+tilth	NE×2	calque: akkerbouw
addeem	adeem	᛫ to adjudge ᛫	V	~[adēman]	NE	
adder		᛫ a viper ᛫	N	~	NE	corruption of: nadder
adderbiter		᛫ an ichneumon ᛫ an Egyptian mongoose ᛫ a mongoose [ᚹ] ᛫	N	nǣderbita	OE	
adderbolt		᛫ a dragonfly ᛫	N	~	NE	
adderkin		᛫ a Serpentes animal ? ᛫	N	nǣdercynn	OE	
adderwort	adderƿort	᛫ a Persicaria bistorta plant ᛫	N	~	NE	aka: snakeweed
addle	addel	᛫ liquid filth ᛬ to confuse ᛫ to muddle ᛬ putrid ᛫ rotten ᛫ idle ᛫ vain ᛫ unsound ᛫	N᛬V᛬AJ	~[adela]	NE	
addle	addel	᛫ to earn ᛫ to gain ᛫ to procure ᛫ to save up money ᛫ to grow ᛫ to thrive ᛫ to flourish ᛫ to yield fruit ᛫	V	~	NE‹ME‹N	
addled	addelled	᛫ confused ᛫	AJ	~	NE	
adight	adigt	᛫ to equip ᛫ to arm ᛫ to furnish ᛫ to dress ᛫	V	adight	ME	
adle	adel	᛫ illness ᛫ ailment ᛫ disease ᛫	N	ā̆dle	ME	
ado		᛫ to do away with ᛫ to take away ᛫ subtract ᛫ to remove ᛫	V	ādōn&ādōn	ME&OE	equal to: do off?
ado		᛫ trouble ᛫ difficulty ᛫ fuss ᛫ bustling activity ᛫	N	~	NE	
adread		 ᛫ frightened ᛫ terrified ᛫ scared ᛫ afraid ᛫	AJ	~	NE	
adrench	adrenc	᛫ to drown ᛫ to sink ᛫ to overwhelm ᛫ to suffocate ᛫	V	adrenchen	ME	
adwash	adƿasc	᛫ to extinguish ᛫ to blot out ᛫ to delete ᛫ to quench ᛫	V	adweshen	ME	
afar		᛫ at a distance ᛫	AV	~	NE	
afear		᛫ to frighten ᛫ to terrify ᛫	V	~	NE	[CED]
afeared		᛫ frightened ᛫ terrified ᛫ afraid ᛫	AJ	~	NE	
Affer		᛫ an African ᛫	N	affer	ME	
afford	aford	᛫ to be able to pay for ᛫ to provide ᛫	V	~	NE	
afield	afeeld	᛫ in a field ᛫ to a field ᛫ away from home ᛫ off-topic ᛫	AV	~	NE	
afire		᛫ to castrate ᛫	V	afȳran	OE	
afired		᛫ a eunuch ᛫ a castrated animal ᛫	N	afȳrida{afȳrd}	OE	
afold		᛫ simple ᛫ plain ᛫ onefold ᛫ single ᛫ singular ᛫	AJ	ōfōld/afōld	ME	short for: onefold ᛫ or: ofold ᛫ possible rhyme: shovelled
afoldly		᛫ simply ᛫ plainly ᛫ singularly ᛫	AV	ōfōld+ly	ME+NE	short for: onefoldly ᛫ or: ofoldly
afoot		᛫ in action ᛫ in process ᛫ in the area ᛫	AV	~	NE	
afore		᛫ before ᛫ in front of ᛫ opposite ᛫	AV&P	afore&afō̆rn	NE&ME	
aforesaid		᛫ aforementioned ᛫	AJ	~	NE	
afoul	afule	᛫ into conflict or difficulty with ᛫	AV	~	NE	
Africk		᛫ Africa ᛫	N(P)	Affrīk&Affrica	ME&OE	
aft		᛫ a stern of a vessel ᛬ located at the back of a vehicle ᛬ at near or towards a vessel's stern ᛫	N᛬AJ᛬AV	~	NE	
after		᛫ post- ᛫	PREFIX	~	NE	
afterbear		᛫ a descendant ᛫	N	~	NE	
afterbirth	afterbirþ	᛫ a placenta ᛫	N	~	NE	
afterborn		᛫ posthumous ( born after father's death ) ᛫	AJ	~	NE	
afterbrain		᛫ a myelencephalon ᛫	N	~	NE	
aftercomer	aftercummer	᛫ a successor ᛫	N	aftercomer	NE	
aftercoming	aftercumming	᛫ a sequel ᛫ a consequence ᛫ a result ᛬ succeeding ᛫	N᛬AJ	~	NE	
afterdeal		᛫ a disadvantage ᛫	N	~	NE	
afterdeath	afterdeaþ	᛫ post-mortem ᛫	AJ	~	NE	
afterdoomsday		᛫ post-apocalyptic ᛫	AJ	after+dooms+day	NE×3	
afterganger		᛫ a follower ᛫ a successor ᛫	N	æftergenga	OE	
afterhand		᛫ subsequently ᛫	AV	~	NE	
afterling		᛫ an after follower ᛫ a descendant ᛫	N	~	NE	[OXF]
Afterlithe	Afterliþe	᛫ July ᛫	N(P)	Æftera Liþa	OE	or: meadmonth (from mǣdmōnaþ)?
aftermath	aftermaþ	᛫ consequences ( usually of something bad ) ᛫	N	~	NE	
aftermidday		᛫ afternoon ᛫	N	~	NE	
afters		᛫ dessert ᛫ sweets ᛫ the last course of a meal ᛫	N	~	NE	[CED]
afterspeak		᛫ to claim ( possession ) ᛫	V	æftersprecan	OE	
afterspeech	afterspeec	᛫ a claim ( of possession ) ᛫	N	æfterspræc	OE	
aftertime		᛫ the future ᛫	N	~	NE	[OXF]
afterword	afterƿord	᛫ an epilogue ᛫ a postscript ᛫	N	~	NE	
Afteryule	Afteryool	᛫ January ᛫	N(P)	Æfterra Geola	OE	
against		᛫ versus ᛫ contrary to ᛫ in opposition to ᛫	P	~	NE	
aghast	agast	᛫ horrified ᛫ shocked ᛫	AJ	~	NE	
ago		᛫ to proceed ᛫ to pass ( to go by ) ᛫ to pass away ᛫ to die ᛫ to elapse ᛫ to come to pass ᛫ to travel ᛫ to move ᛫ to depart ᛫	V	agōn[āgān]&igōn[gegān]	ME&ME	PST: awent ᛫ PTCP: agone
agone		᛫ past ᛫	AJ	agōn[āgān]	ME	
agraith	agraiþ	᛫ to make ready ᛫ prepare ᛫ to dress a wound ᛫ to adorn ᛫ to embellish ᛫	V	agraithen	ME‹N	
agraithing	agraiþing	᛫ embellishment ᛫ ornament ᛫	N	agraithing	ME‹N	
ahap		᛫ fitting ᛫ suitable ᛫	AJ	gehæp	OE	
aheave	aheaf	᛫ to heave up ᛫ to elevate ᛫ to exalt ᛫	V	ahebban	OE	
ail		᛫ ailment ᛬ to make suffer ᛫ to trouble ᛫ to pain ᛬ troublesome ᛫ painful ᛫	N᛬V᛬AJ	~[egle][eglan]	NE	
ait		᛫ a small island in a river ᛫ an eyot ᛫ an islet ᛫	N	~	NE	
akeep		᛫ to preserve ᛫ to reserve ᛫	V	ikēpen	ME	
akin		᛫ related ᛫	AJ	~	NE	
alack		᛫ alas ! ᛫	I	~	NE	
alast		᛫ to perform ᛫ to accomplish ᛫ to execute ᛫	V	gelæstan	OE	
albeit		᛫ though ᛫	C	~	NE	
Albert Mere		᛫ Lake Albert ᛫	N(P)	Albert+mere	NE×2	
alder		᛫ a parent ᛫ an ancestor ᛫ an elder ᛫ a chief ᛫ a leader ᛫ a ruler ᛫	N	alder	ME	
alderbishop	alderbiscop	᛫ an archbishop ᛫	N	ealdorbiscop	OE‹(E+H)	
alderborough	alderboroug	᛫ a metropolis ᛫	N	ealdorburh	OE	
alderdeemer		᛫ a supreme court judge ᛫	N	aldordēma	OE	
alderdom		᛫ authority ᛫ eldership ᛫ magistracy ᛫ principality ᛫	N	ealdordōm	OE	
alderman		᛫ an elected member of a city council ᛫ a baillie ᛫	N	~	NE	
aleater		᛫ an omnivore ᛫	N	all+eater	NE×2	inspired by German "Allesfresser"
alee		᛫ on the lee side of a ship ᛫	AV	~	NE	
aleesedness		᛫ salvation ᛫ redemption ᛫	N	alẹ̄sednesse[ālīsedness]	ME	
alehouse	alehuse	᛫ a bar ᛫ a tavern ᛫ a pub ( public house ) ᛫	N	~	NE	
aleknight	aleknigt	᛫ a man who drinks alcohol ᛫	N	~	NE	
alewife	aleƿife	᛫ a woman who keeps an alehouse ᛫	N	~	NE	
alfather	alfaþer	᛫ an epithet used for a head god ᛫	N	~	NE	
alight	aligt	᛫ to descend ᛫ to exit ᛫ to dismount ᛫ to disembark ᛫	V	~	NE	
alighten	aligten	᛫ enlighten ᛫ illuminate ᛫	V	ālīhtan	OE	
alike		᛫ similar ᛬ similarly ᛫	AJ᛬AV	~	NE	
alkin		᛫ of every kind ᛫ universal ᛫	AJ	~[eallcyn]	NE	
alknowing	alknoƿing	᛫ omniscient ᛫	AJ	~	NE	
alknowingness	alknoƿingness	᛫ omniscience ᛫	N	~	NE	
all		᛫ omni- ᛫	PREFIX	~	NE	
all		᛫ entirely ᛫ totally ᛫ completely ᛫	AV	~	NE	
all told		᛫ in total ᛫	P	~	NE	
allay	alay	᛫ to calm down ᛫ to lull ᛫ to pacify ᛫ to alleviate ᛫ to abate ᛫ to mitigate ᛫ to subside ᛫	V	~	NE	
allings		᛫ entirely ᛫ sufficiently ᛫	AV	allinges	ME	
allness		᛫ totality ᛫ universality ᛫	N	~	NE	
allow	alloƿ	᛫ aloe ᛫	N	alwe	OE‹‹O	rhyme: hallow ᛫ "aloe" is French
ally		᛫ of all ᛫ universal ᛫ catholic ᛫	AJ	eallic	OE	
Almannish	Almannisc	᛫ Alemannic speech ᛬ Alemannic ᛫	N᛬AJ	all+man+ish	NE×3	calque: Alemannisch
almight	almigt	᛫ omnipotence ᛫	N	almighty	NE	
almighty	almigty	᛫ omnipotent ᛫	AJ	~	NE	
almsful		᛫ charitable ᛫	AJ	ælmesfull	OE	
almsman		᛫ a taker of alms ᛫ a beggar ᛫ a giver of alms ( an almoner ) ᛫	N	~	NE‹‹OE‹(I‹H+E)	
aloft		᛫ at to or in the air ᛫ above ᛫ up ᛫	AV	~	NE	could be spelled: alift (to make it English instead of Norse)
aloneness		᛫ solitude ᛫	N	~	NE	
along of		᛫ because of ᛫	P	~[gelang]{ilong on}	NE	
aloom		᛫ frequently ᛫	AV	ilōme[gelōme]	ME	
alow	aloƿ	᛫ low down ᛬ below ᛫	AV᛬P	~	NE	rhyme: a toe
